afsc,tier,CIP_Code,submitDate,submittedBy,tierOrder
13M,P,13.1206,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1207,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1208,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1209,08NOV2018:00:00:00,1234567891A,3
13M,P,13.121,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1299,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1301,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1302,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1303,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1304,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1305,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1306,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1307,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1308,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1309,08NOV2018:00:00:00,1234567891A,3
13M,P,13.131,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1311,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1312,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1314,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1315,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1316,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1317,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1318,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1319,08NOV2018:00:00:00,1234567891A,3
13M,P,13.132,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1321,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1322,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1323,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1324,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1325,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1326,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1327,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1328,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1329,08NOV2018:00:00:00,1234567891A,3
13M,P,13.133,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1331,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1332,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1333,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1334,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1335,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1337,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1338,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1399,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1401,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1402,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1499,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1501,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1502,08NOV2018:00:00:00,1234567891A,3
13M,P,13.1599,08NOV2018:00:00:00,1234567891A,3
13M,P,13.9999,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0101,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0102,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0201,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0301,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0401,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0501,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0601,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0701,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0702,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0799,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0801,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0802,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0803,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0804,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0805,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0899,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0901,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0902,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0903,08NOV2018:00:00:00,1234567891A,3
13M,P,14.0999,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1001,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1003,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1004,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1099,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1101,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1201,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1301,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1401,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1801,08NOV2018:00:00:00,1234567891A,3
13M,P,14.1901,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2001,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2101,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2201,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2301,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2401,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2501,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2701,08NOV2018:00:00:00,1234567891A,3
13M,P,14.2801,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3101,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3201,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3301,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3401,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3501,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3601,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3701,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3801,08NOV2018:00:00:00,1234567891A,3
13M,P,14.3901,08NOV2018:00:00:00,1234567891A,3
13M,P,14.4001,08NOV2018:00:00:00,1234567891A,3
13M,P,14.4101,08NOV2018:00:00:00,1234567891A,3
13M,P,14.4201,08NOV2018:00:00:00,1234567891A,3
